county_fips,rank,station_id,station_name,distance_km,weight
42015,1,USC00368905,TOWANDA 1 S,6.644059268498828,0.8539884247178384
42015,2,USC00309047,WAVERLY,23.471467334394195,0.06842873297590103
42015,3,USC00361212,CANTON,32.52816537802631,0.03562868892640603
42015,4,USC00364815,LAPORTE,40.94898772105284,0.02248188073018055
42015,5,USC00302610,ELMIRA,43.99984727649744,0.019472272649673904
42017,1,USC00361080,BUCKSVILLE,19.91453128134757,0.28993139547022717
42017,2,USC00288880,EWING 3 WNW,23.211683225768596,0.21341363053017623
42017,3,USC00366194,NESHAMINY FALLS,24.712791990674507,0.1882746273270457
42017,4,USW00014792,TRENTON-MERCER AP,25.58260864147897,0.17568948500141257
42017,5,USC00363437,GRATERFORD 1 E,29.437247876183687,0.13269086167113853
42019,1,USC00361139,BUTLER 2 SW,8.05865419980304,0.7717809381949426
42019,2,USC00368184,SLIPPERY ROCK 1 SSW,19.726467561535866,0.12880135844222515
42019,3,USC00366151,NATRONA LOCK 4,37.32635618502818,0.035973930959208394
42019,4,USC00366233,NEW CASTLE 1 N,38.88444158946208,0.033148765220220304
42019,5,USC00362942,FORD CITY 4 S DAM,40.67466778659146,0.030295007183403652
42021,1,USC00362470,EBENSBURG SEWAGE PLT,4.987441786516197,0.8681056607499783
42021,2,USC00367167,PRINCE GALLITZIN SP,20.46725834065039,0.05154765637725145
42021,3,USC00360140,ALTOONA 3 W,20.681529953066757,0.05048506744763009
42021,4,USC00364214,INDIANA 3 SE,35.810669539917896,0.01683849939156122
42021,5,USW00014736,ALTOONA BLAIR CO AP,40.719897740863296,0.0130231160335789
42023,1,USC00368469,STEVENSON DAM,15.490036514053205,0.5352053286647935
42023,2,USC00360147,ALVIN R BUSH DAM,24.38340400343563,0.21599149121163033
42023,3,USC00363311,GLEN HAZEL 2 NE DAM,36.064589502642605,0.09873322550742292
42023,4,USC00367409,RENOVO,40.23972302410739,0.07930769838697177
42023,5,USC00367103,PORT ALLEGANY,42.600217847493695,0.07076225622918152
42025,1,USC00360560,BELTZVILLE DAM,8.17284871087493,0.799750596766198
42025,2,USC00363018,FRANCIS E WALTER DAM,22.31339511814215,0.1072927015168067
42025,3,USW00014737,ALLENTOWN LEHIGH VLY INTL AP,36.89916041942585,0.039234536191125026
42025,4,USC00368596,E STROUDSBURG,43.150411912842365,0.02869006951483336
42025,5,USW00014777,WILKES-BARRE/SCRANTON INTL AP,46.195762314371024,0.025032096011037033
42027,1,USC00368449,STATE COLLEGE,13.00524536261699,0.753700744543676
42027,2,USC00365109,LOCK HAVEN SEWAGE PLT,42.515921687918286,0.07052333600961523
42027,3,USC00364992,LEWISTOWN,42.89067460928001,0.06929633891345577
42027,4,USC00367409,RENOVO,47.66916106774597,0.05609976306600285
42027,5,USC00360147,ALVIN R BUSH DAM,50.30251827513752,0.05037981746725011
42029,1,USC00366927,PHOENIXVILLE 1 E,27.63201442669554,0.23711377805237815
42029,2,USC00079605,WILMINGTON PORTER RSCH,28.484060880855438,0.22314033135766176
42029,3,USC00366238,NEW HOLLAND 2 SE,29.61284581430488,0.20645318802189144
42029,4,USC00366508,OCTORARO LAKE,32.0129591047364,0.17665675339211098
42029,5,USC00076410,NEWARK AG FARM,33.99736207908529,0.15663594917595758
42031,1,USC00361485,CLARION 3 SW,1.4736028486811483,0.9933702503852582
